instance,approach,exp_i,evaluations,objective
k4xb3,Permutation GOMEA - LT/Original - 10x FI,1,24932,3.0
k4xb4,Permutation GOMEA - LT/Original - 10x FI,1,27971,4.0
k4xb5,Permutation GOMEA - LT/Original - 10x FI,1,64714,5.0
k4xb10,Permutation GOMEA - LT/Original - 10x FI,1,1089025,10.0
k4xb20,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,20.0
k5xb3,Permutation GOMEA - LT/Original - 10x FI,1,353711,3.0
k5xb4,Permutation GOMEA - LT/Original - 10x FI,1,347170,4.0
k5xb5,Permutation GOMEA - LT/Original - 10x FI,1,2511216,5.0
k5xb10,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,10.0
k6xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.0
k4xb3,Permutation GOMEA - RT - 10x FI,1,719,3.0
k4xb4,Permutation GOMEA - RT - 10x FI,1,20458,4.0
k4xb5,Permutation GOMEA - RT - 10x FI,1,117190,5.0
k4xb10,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,10.0
k5xb3,Permutation GOMEA - RT - 10x FI,1,191813,3.0
k5xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,4.0
k6xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.0
k4xb3,qGOMEA - LT/Distance - 10x FI - OX,1,24974,3.0
k4xb4,qGOMEA - LT/Distance - 10x FI - OX,1,220852,4.0
k4xb5,qGOMEA - LT/Distance - 10x FI - OX,1,439113,5.0
k4xb10,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,10.0
k5xb3,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,3.0
k4xb3,qGOMEA - RT - 10x FI - OX,1,13739,3.0
k4xb4,qGOMEA - RT - 10x FI - OX,1,37075,4.0
k4xb5,qGOMEA - RT - 10x FI - OX,1,184618,5.0
k4xb10,qGOMEA - RT - 10x FI - OX,1,662194,10.0
k4xb20,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,20.0
k5xb3,qGOMEA - RT - 10x FI - OX,1,187532,3.0
k5xb4,qGOMEA - RT - 10x FI - OX,1,593043,4.0
k5xb5,qGOMEA - RT - 10x FI - OX,1,1730547,5.0
k5xb10,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,10.0
k6xb3,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,3.0
k4xb3,Random Key SimpleGA,1,294,3.0
k4xb4,Random Key SimpleGA,1,7584,4.0
k4xb5,Random Key SimpleGA,1,6192,5.0
k4xb10,Random Key SimpleGA,1,30461,10.0
k4xb20,Random Key SimpleGA,1,9223372036854775807,20.0
k5xb3,Random Key SimpleGA,1,34623,3.0
k5xb4,Random Key SimpleGA,1,63602,4.0
k5xb5,Random Key SimpleGA,1,422620,5.0
k5xb10,Random Key SimpleGA,1,9223372036854775807,10.0
k6xb3,Random Key SimpleGA,1,1104236,3.0
k6xb4,Random Key SimpleGA,1,1949109,4.0
