instance,approach,exp_i,time,objective
k4xb3,Permutation GOMEA - LT/Original - 10x FI,1,0.2969999313354492,3.0
k4xb4,Permutation GOMEA - LT/Original - 10x FI,1,0.03299999237060547,4.0
k4xb5,Permutation GOMEA - LT/Original - 10x FI,1,0.09299993515014648,5.0
k4xb10,Permutation GOMEA - LT/Original - 10x FI,1,2.5840001106262207,10.0
k4xb20,Permutation GOMEA - LT/Original - 10x FI,1,Inf,20.0
k5xb3,Permutation GOMEA - LT/Original - 10x FI,1,0.41100001335144043,3.0
k5xb4,Permutation GOMEA - LT/Original - 10x FI,1,0.44500017166137695,4.0
k5xb5,Permutation GOMEA - LT/Original - 10x FI,1,3.9609999656677246,5.0
k5xb10,Permutation GOMEA - LT/Original - 10x FI,1,Inf,10.0
k6xb3,Permutation GOMEA - LT/Original - 10x FI,1,Inf,3.0
k4xb3,Permutation GOMEA - RT - 10x FI,1,0.014999866485595703,3.0
k4xb4,Permutation GOMEA - RT - 10x FI,1,0.026000022888183594,4.0
k4xb5,Permutation GOMEA - RT - 10x FI,1,0.14700007438659668,5.0
k4xb10,Permutation GOMEA - RT - 10x FI,1,Inf,10.0
k5xb3,Permutation GOMEA - RT - 10x FI,1,0.21299982070922852,3.0
k5xb4,Permutation GOMEA - RT - 10x FI,1,Inf,4.0
k6xb3,Permutation GOMEA - RT - 10x FI,1,Inf,3.0
k4xb3,qGOMEA - LT/Distance - 10x FI - OX,1,0.31600022315979004,3.0
k4xb4,qGOMEA - LT/Distance - 10x FI - OX,1,0.35700011253356934,4.0
k4xb5,qGOMEA - LT/Distance - 10x FI - OX,1,0.7349998950958252,5.0
k4xb10,qGOMEA - LT/Distance - 10x FI - OX,1,Inf,10.0
k5xb3,qGOMEA - LT/Distance - 10x FI - OX,1,Inf,3.0
k4xb3,qGOMEA - RT - 10x FI - OX,1,0.03299999237060547,3.0
k4xb4,qGOMEA - RT - 10x FI - OX,1,0.05799984931945801,4.0
k4xb5,qGOMEA - RT - 10x FI - OX,1,0.2969999313354492,5.0
k4xb10,qGOMEA - RT - 10x FI - OX,1,1.372999906539917,10.0
