instance,approach,exp_i,evaluations,objective
k4xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.0
k4xb4,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,4.0
k4xb5,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,5.0
k4xb10,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,10.0
k4xb20,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,18.0
k5xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.0
k5xb4,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,4.0
k5xb5,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,5.0
k5xb10,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,9.200000000000001
k6xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.0
k6xb4,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.666666666666667
k7xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,2.857142857142857
k4xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.0
k4xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,4.0
k4xb5,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,5.0
k4xb10,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,10.0
k4xb20,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,17.25
k5xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.0
k5xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.8
k6xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.0
k6xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.666666666666667
k7xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,2.7142857142857144
k4xb3,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,3.0
k4xb4,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,4.0
k4xb5,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,5.0
k4xb10,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,9.25
k5xb3,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,2.8
k4xb3,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,3.0
k4xb4,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,4.0
k4xb5,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,5.0
k4xb10,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,9.5
k5xb3,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,3.0
k5xb4,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,3.8
k6xb3,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,3.0
k6xb4,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,3.8333333333333335
k7xb3,qGOMEA - LT/PermutationGOMEA Original,1,9223372036854775807,2.7142857142857144
k4xb3,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,3.0
k4xb4,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,4.0
k4xb5,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,5.0
k4xb10,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,10.0
k4xb20,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,18.0
k5xb3,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,3.0
k5xb4,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,4.0
k5xb5,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,5.0
k5xb10,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,9.0
k6xb3,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,3.0
k6xb4,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,3.8333333333333335
k7xb3,qGOMEA - RT - 10x FI - OX,1,9223372036854775807,2.7142857142857144
k4xb3,Random Key SimpleGA,1,9223372036854775807,3.0
k4xb4,Random Key SimpleGA,1,9223372036854775807,4.0
k4xb5,Random Key SimpleGA,1,9223372036854775807,5.0
k4xb10,Random Key SimpleGA,1,9223372036854775807,10.0
k4xb20,Random Key SimpleGA,1,9223372036854775807,20.0
k5xb3,Random Key SimpleGA,1,9223372036854775807,3.0
k5xb4,Random Key SimpleGA,1,9223372036854775807,4.0
k5xb5,Random Key SimpleGA,1,9223372036854775807,5.0
k5xb10,Random Key SimpleGA,1,9223372036854775807,9.2
k6xb3,Random Key SimpleGA,1,9223372036854775807,3.0
k6xb4,Random Key SimpleGA,1,9223372036854775807,4.0
k6xb5,Random Key SimpleGA,1,9223372036854775807,4.833333333333334
k7xb3,Random Key SimpleGA,1,9223372036854775807,2.857142857142857
k4xb3,Integer Permutation SimpleGA - PMX,1,9223372036854775807,3.0
k4xb4,Integer Permutation SimpleGA - PMX,1,9223372036854775807,4.0
k4xb5,Integer Permutation SimpleGA - PMX,1,9223372036854775807,5.0
k4xb10,Integer Permutation SimpleGA - PMX,1,9223372036854775807,10.0
k4xb20,Integer Permutation SimpleGA - PMX,1,9223372036854775807,19.0
k5xb3,Integer Permutation SimpleGA - PMX,1,9223372036854775807,3.0
