instance,approach,exp_i,evaluations,objective
k4xb3,Permutation GOMEA - LT/Original - 10x FI,1,4752,3.0
k4xb4,Permutation GOMEA - LT/Original - 10x FI,1,56945,4.0
k4xb5,Permutation GOMEA - LT/Original - 10x FI,1,93771,5.0
k4xb10,Permutation GOMEA - LT/Original - 10x FI,1,1517681,10.0
k4xb20,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,20.0
k5xb3,Permutation GOMEA - LT/Original - 10x FI,1,154694,3.0
k5xb4,Permutation GOMEA - LT/Original - 10x FI,1,992443,4.0
k5xb5,Permutation GOMEA - LT/Original - 10x FI,1,884174,5.0
k5xb10,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,10.0
k6xb3,Permutation GOMEA - LT/Original - 10x FI,1,5423902,3.0
k6xb4,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,4.0
k7xb3,Permutation GOMEA - LT/Original - 10x FI,1,9223372036854775807,3.0
k4xb3,Permutation GOMEA - RT - 10x FI,1,2800,3.0
k4xb4,Permutation GOMEA - RT - 10x FI,1,29962,4.0
k4xb5,Permutation GOMEA - RT - 10x FI,1,210682,5.0
k4xb10,Permutation GOMEA - RT - 10x FI,1,1493360,10.0
k4xb20,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,20.0
k5xb3,Permutation GOMEA - RT - 10x FI,1,879123,3.0
k5xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,4.0
k6xb3,Permutation GOMEA - RT - 10x FI,1,2361402,3.0
k6xb4,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,4.0
k7xb3,Permutation GOMEA - RT - 10x FI,1,9223372036854775807,3.0
k4xb3,qGOMEA - LT/Distance - 10x FI - OX,1,177444,3.0
k4xb4,qGOMEA - LT/Distance - 10x FI - OX,1,260190,4.0
k4xb5,qGOMEA - LT/Distance - 10x FI - OX,1,210595,5.0
k4xb10,qGOMEA - LT/Distance - 10x FI - OX,1,9223372036854775807,10.0
