instance,approach,exp_i,time,objective
k4xb3,Permutation GOMEA - LT/Original - 10x FI,1,0.1770000457763672,3.0
k4xb4,Permutation GOMEA - LT/Original - 10x FI,1,0.05900001525878906,4.0
k4xb5,Permutation GOMEA - LT/Original - 10x FI,1,0.12299990653991699,5.0
k4xb10,Permutation GOMEA - LT/Original - 10x FI,1,2.9140000343322754,10.0
k4xb20,Permutation GOMEA - LT/Original - 10x FI,1,Inf,20.0
k5xb3,Permutation GOMEA - LT/Original - 10x FI,1,0.1530001163482666,3.0
k5xb4,Permutation GOMEA - LT/Original - 10x FI,1,1.128000020980835,4.0
k5xb5,Permutation GOMEA - LT/Original - 10x FI,1,1.1729998588562012,5.0
k5xb10,Permutation GOMEA - LT/Original - 10x FI,1,Inf,10.0
k6xb3,Permutation GOMEA - LT/Original - 10x FI,1,5.575999975204468,3.0
k6xb4,Permutation GOMEA - LT/Original - 10x FI,1,Inf,4.0
k7xb3,Permutation GOMEA - LT/Original - 10x FI,1,Inf,3.0
k4xb3,Permutation GOMEA - RT - 10x FI,1,0.015000104904174805,3.0
k4xb4,Permutation GOMEA - RT - 10x FI,1,0.07899999618530273,4.0
k4xb5,Permutation GOMEA - RT - 10x FI,1,0.252000093460083,5.0
k4xb10,Permutation GOMEA - RT - 10x FI,1,2.889000177383423,10.0
k4xb20,Permutation GOMEA - RT - 10x FI,1,Inf,20.0
k5xb3,Permutation GOMEA - RT - 10x FI,1,0.807999849319458,3.0
k5xb4,Permutation GOMEA - RT - 10x FI,1,Inf,4.0
k6xb3,Permutation GOMEA - RT - 10x FI,1,2.3530001640319824,3.0
k6xb4,Permutation GOMEA - RT - 10x FI,1,Inf,4.0
k7xb3,Permutation GOMEA - RT - 10x FI,1,Inf,3.0
k4xb3,qGOMEA - LT/Distance - 10x FI - OX,1,0.46199989318847656,3.0
k4xb4,qGOMEA - LT/Distance - 10x FI - OX,1,0.3689999580383301,4.0
k4xb5,qGOMEA - LT/Distance - 10x FI - OX,1,0.315000057220459,5.0
k4xb10,qGOMEA - LT/Distance - 10x FI - OX,1,Inf,10.0
k5xb3,qGOMEA - LT/Distance - 10x FI - OX,1,Inf,3.0
k4xb3,qGOMEA - LT/PermutationGOMEA Original,1,0.017000198364257812,3.0
k4xb4,qGOMEA - LT/PermutationGOMEA Original,1,0.06200003623962402,4.0
k4xb5,qGOMEA - LT/PermutationGOMEA Original,1,1.1679999828338623,5.0
k4xb10,qGOMEA - LT/PermutationGOMEA Original,1,Inf,10.0
k5xb3,qGOMEA - LT/PermutationGOMEA Original,1,0.751000165939331,3.0
k5xb4,qGOMEA - LT/PermutationGOMEA Original,1,Inf,4.0
k6xb3,qGOMEA - LT/PermutationGOMEA Original,1,1.9649999141693115,3.0
k6xb4,qGOMEA - LT/PermutationGOMEA Original,1,Inf,4.0
k7xb3,qGOMEA - LT/PermutationGOMEA Original,1,Inf,3.0
k4xb3,qGOMEA - RT - 10x FI - OX,1,0.03699994087219238,3.0
k4xb4,qGOMEA - RT - 10x FI - OX,1,0.08000016212463379,4.0
k4xb5,qGOMEA - RT - 10x FI - OX,1,0.25999999046325684,5.0
k4xb10,qGOMEA - RT - 10x FI - OX,1,1.4110000133514404,10.0
k4xb20,qGOMEA - RT - 10x FI - OX,1,Inf,20.0
k5xb3,qGOMEA - RT - 10x FI - OX,1,0.2589998245239258,3.0
k5xb4,qGOMEA - RT - 10x FI - OX,1,1.9689998626708984,4.0
k5xb5,qGOMEA - RT - 10x FI - OX,1,3.2170000076293945,5.0
k5xb10,qGOMEA - RT - 10x FI - OX,1,Inf,10.0
k6xb3,qGOMEA - RT - 10x FI - OX,1,7.224999904632568,3.0
k6xb4,qGOMEA - RT - 10x FI - OX,1,Inf,4.0
k7xb3,qGOMEA - RT - 10x FI - OX,1,Inf,3.0
